ID,NAME,TYPE,RANK,PHONE,URL
45263552000_file1,НОСЕНКОВ А. Е.,Старший участковый уполномоченный полиции,Майор,(499) 169-4183,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file1.html
45263552000_file2,БОДУНОВ А. В.,Участковый уполномоченный полиции,Майор,(499) 169-41-83,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file2.html
45263552000_file3,КУХАРЬ Р. В.,Участковый уполномоченный полиции,Старший лейтенант,(499) 169-41-83,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file3.html
45263552000_file4,ГРАБАРОВСКИЙ Э. О.,Участковый уполномоченный полиции,Майор,(499) 160-96-72,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file4.html
45263552000_file5,ХЛЫБОВ Ю. Н.,Старший участковый уполномоченный полиции,Майор,(499) 160-9672,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file5.html
45263552000_file6,ЖЕЛДАКОВ Е. А.,Участковый уполномоченный полиции,Капитан,(499) 160-9673,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file6.html
45263552000_file7,ОВСЯННИКОВ О. В.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-78-55,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file7.html
45263552000_file8,СТРЕЛЬЦОВ Н. Н.,Участковый уполномоченный полиции,Младший лейтенант,(499) 168-78-55,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file8.html
45263552000_file9,ВЛАСЕНКО И. А.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-78-55,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file9.html
45263552000_file10,КОЗЛОВ Л. А.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-78-55,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file10.html
45263552000_file11,КУВШИНКИН Д. А.,Старший участковый уполномоченный полиции,Майор,(499) 748-33-40,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file11.html
45263552000_file12,МАКАШКИН В. В.,Участковый уполномоченный полиции,Старший лейтенант,(499) 748-33-40,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file12.html
45263552000_file13,БУРЫКИН В. М.,Участковый уполномоченный полиции,Старший лейтенант,(499) 748-33-40,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file13.html
45263552000_file14,СТРИГАНОВ С. В.,Старший участковый уполномоченный полиции,Старший лейтенант,(499) 168-39-61,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file14.html
45263552000_file15,БУРМАНТОВ В. Н.,Участковый уполномоченный полиции,Капитан,(499) 168-39-61,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file15.html
45263552000_file16,ОДУШКИН В. А.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-39-61,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file16.html
45263552000_file17,СЕЛИВАНКИНА А. А.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-35-16,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file17.html
45263552000_file18,КОНДРАШОВ В. И.,Старший участковый уполномоченный полиции,Майор,(499) 168-35-16,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file18.html
45263552000_file19,ТЕПЛЫХ С. В.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-35-16,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file19.html
45263552000_file20,ДРОБАХА Е. Г.,Участковый уполномоченный полиции,Старший лейтенант,(499) 168-35-16,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file20.html
45263552000_file21,ВИЛКОВ Г. А.,Старший участковый уполномоченный полиции,Капитан,(499) 160-14-71,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file21.html
45263552000_file22,САЗОНОВ А. С.,Участковый уполномоченный полиции,Старший лейтенант,(499) 160-14-71,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file22.html
45263552000_file23,БОЛОГАН Н. Г.,Участковый уполномоченный полиции,Старший лейтенант,(499) 160-14-71,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263552000/file23.html
45263555000_file1,НОВИКОВ А. П.,Участковый уполномоченный полиции,Майор,(8495) 3757190,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file1.html
45263555000_file2,ПРЯДКО В. И.,Участковый уполномоченный полиции,Капитан,(8499) 3757190,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file2.html
45263555000_file3,ШИРКО А. В.,Участковый уполномоченный полиции,Капитан,(8495) 3757190,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file3.html
45263555000_file4,ДЖАХАНГИРОВ В. Г.,Участковый уполномоченный полиции,Майор,(8499) 3737012,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file4.html
45263555000_file5,ВАСИЛЕНКО Р. А.,Участковый уполномоченный полиции,Лейтенант,(8499) 3737012,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file5.html
45263555000_file6,МОСЬПАНОВ А. В.,Участковый уполномоченный полиции,Лейтенант,не указан,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file6.html
45263555000_file7,МОРГУНОВСКИЙ В. А.,Старший участковый уполномоченный полиции,Майор,(8499) 3740404,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file7.html
45263555000_file8,БОБРОВ А. Г.,Участковый уполномоченный полиции,Капитан,не указан,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file8.html
45263555000_file9,ВАКАНСИЯ В.,Участковый уполномоченный полиции,Лейтенант,(8499) 3740404,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file9.html
45263555000_file10,ЮГАЙ А. О.,Участковый уполномоченный полиции,Лейтенант,(8499) 3740404,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file10.html
45263555000_file11,АРХИПЦЕВ Ю. Н.,Участковый уполномоченный полиции,Старший лейтенант,(8499) 3733942,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file11.html
45263555000_file12,ХАРИТОНОВ А. Ю.,Участковый уполномоченный полиции,Капитан,(8499) 3733942,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file12.html
45263555000_file13,ТИТОВ А. В.,Участковый уполномоченный полиции,Капитан,(8499) 3733942,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file13.html
45263555000_file14,ВАКАНСИЯ В.,Участковый уполномоченный полиции,Лейтенант,(8499) 3733942,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file14.html
45263555000_file15,БАСКО С. В.,Старший участковый уполномоченный полиции,Майор,(8495) 3757701,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file15.html
45263555000_file16,ЖМАНКОВА Н. П.,Участковый уполномоченный полиции,Лейтенант,(8495) 3757701,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file16.html
45263555000_file17,ИЛЬИН П. А.,Участковый уполномоченный полиции,Лейтенант,(8495) 3757701,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file17.html
45263555000_file18,ГЕРБСТ И. И.,Участковый уполномоченный полиции,Лейтенант,(8495) 3757701,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file18.html
45263555000_file19,ЛАПТЕВ А. А.,Участковый уполномоченный полиции,Капитан,(8495) 3755586,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file19.html
45263555000_file20,ГОЛОВАНОВ В. Е.,Старший участковый уполномоченный полиции,Капитан,(8495) 3755586,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file20.html
45263555000_file21,КАРИМОВ В. Ш.,Участковый уполномоченный полиции,Старший лейтенант,(8495) 3799548,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file21.html
45263555000_file22,МИТРОХИН С. В.,Участковый уполномоченный полиции,Майор,(8495) 3759548,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file22.html
45263555000_file23,ЮРАСОВ А. Н.,Старший участковый уполномоченный полиции,Майор,(8495) 3750200,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file23.html
45263555000_file24,БАЛАКИНА В. Э.,Участковый уполномоченный полиции,Лейтенант,(8495) 3750200,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file24.html
45263555000_file25,КОЛЬКИН Д. Н.,Участковый уполномоченный полиции,Капитан,(8495) 3750200,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file25.html
45263555000_file26,ВАКАНСИЯ В.,Участковый уполномоченный полиции,Лейтенант,(8495) 3750200,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263555000/file26.html
45263558000_file1,ГОРДЕЕВА Ю. В.,Участковый уполномоченный полиции,Капитан,(499) 463-1950,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263558000/file1.html
45263558000_file2,СЕМАНЕНКОВ И. И.,Старший участковый уполномоченный полиции,Майор,(499) 463-19-50,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263558000/file2.html
45263558000_file3,ГОРДЕЕВА Ю. В.,Участковый уполномоченный полиции,Капитан,(499) 463-19-50,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263558000/file3.html
45263558000_file4,ЛОПАТИН Д. М.,Участковый уполномоченный полиции,Лейтенант,(499) 463-19-50,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263558000/file4.html
45263558000_file5,ДМИТРИЕВ С. В.,Участковый уполномоченный полиции,Лейтенант,(499) 463-19-50,http://112.ru/publish/00/00/uum/45000000000/45263000000/45263558000/file5.html
